index,l(w),l(x),l(y),l(xy),l(yx),l(y*x),l(y\lefttriangle x),\mu_1,\mu_2,\mu_3,\mu_4,\mu_5,\delta(x_12),\delta(x_13),\delta(x_14),\delta(x_15),\delta(x_23),\delta(x_24),\delta(x_25),\delta(x_34),\delta(x_35),\delta(x_45),\delta(y^-1_12),\delta(y^-1_13),\delta(y^-1_14),\delta(y^-1_15),\delta(y^-1_23),\delta(y^-1_24),\delta(y^-1_25),\delta(y^-1_34),\delta(y^-1_35),\delta(y^-1_45),dimension,components
55,55,3,4,5,5,6,3,6,3,-1,-3,-5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,30,2
56,57,6,5,5,5,9,1,6,3,-1,-3,-5,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,31,3
57,49,3,4,5,5,6,3,5,2,0,-1,-6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,27,5
58,57,5,6,5,5,8,2,6,3,-1,-2,-6,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,31,3
59,43,4,7,5,5,8,4,6,1,-1,-2,-4,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,24,5
60,39,2,7,5,9,9,6,5,1,0,-1,-5,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,24,10
61,47,7,2,5,9,9,0,5,1,0,-2,-4,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,28,25
62,47,5,2,5,7,7,0,5,1,0,-1,-5,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,27,36
63,29,3,6,5,5,7,4,3,2,0,-2,-3,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,17,5
64,53,5,2,5,5,6,0,5,2,0,-1,-6,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,29,5
65,53,5,6,5,5,8,3,5,3,1,-4,-5,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,29,2
66,53,3,4,5,5,6,2,5,4,-1,-3,-5,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,29,2
67,49,5,6,5,5,9,3,5,2,0,-1,-6,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,27,3
68,59,5,2,5,5,6,0,5,4,-1,-2,-6,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,32,4
